"url","comment_user","comment_user_url","comment_date","comment","likes_number","replies_number","replies","hashtag_comment","tagged_users_in_comment","post_url","post_user","comment_id","post_id","timestamp","input","error","error_code","warning","warning_code"
"https://www.instagram.com/massenkarambolage","rambow_band","https://www.instagram.com/rambow_band","2024-11-05T11:43:12.000Z","🤘🏻😎",1,0,,,,"https://www.instagram.com/reel/DB6rfmRMaex","massenkarambolage","18135107722369506","3493295748373653425","2025-07-12T20:59:16.559Z","{""url"":""https://www.instagram.com/reel/DB6rfmRMaex""}",,,,
"https://www.instagram.com/massenkarambolage","its_a_161_riot","https://www.instagram.com/its_a_161_riot","2024-11-03T21:34:50.000Z","🔥🔥🔥",1,0,,,,"https://www.instagram.com/reel/DB6rfmRMaex","massenkarambolage","18062444656780999","3493295748373653425","2025-07-12T20:59:16.559Z","{""url"":""https://www.instagram.com/reel/DB6rfmRMaex""}",,,,
"https://www.instagram.com/massenkarambolage","dorfterror","https://www.instagram.com/dorfterror","2024-11-03T17:32:54.000Z","Auch wenn du aus Wuppertal kommst, bist du trotzdem Oberbillig 🙌🔥 hat ne Menge Spaß gemacht ❤️🤘",6,1,"[{""reply_user"":""ichbineinfynn"",""reply_date"":""2024-11-03T17:34:44.000Z"",""reply"":""@dorfterror Definitiv! 🫶🏻"",""likes_number"":1}]",,,"https://www.instagram.com/reel/DB6rfmRMaex","massenkarambolage","18061673317749633","3493295748373653425","2025-07-12T20:59:16.559Z","{""url"":""https://www.instagram.com/reel/DB6rfmRMaex""}",,,,
"https://www.instagram.com/dorfterror","daswoerm","https://www.instagram.com/daswoerm","2025-03-17T17:06:33.000Z","Es war uns ein Fest! Gerne wieder 🙌",1,1,"[{""reply_user"":""dorfterror"",""reply_date"":""2025-03-17T19:24:47.000Z"",""reply"":""@daswoerm absolut 🔥"",""likes_number"":1}]",,,"https://www.instagram.com/p/DHTmzkhsJFX","dorfterror","18098628496518632","3590383997625078103","2025-07-12T20:59:16.584Z","{""url"":""https://www.instagram.com/p/DHTmzkhsJFX""}",,,,
"https://www.instagram.com/dorfterror","johnnyraw_support","https://www.instagram.com/johnnyraw_support","2025-03-17T16:59:28.000Z","Danke für dieses Tolle Erlebnis.
Ich hoffe wir sehen uns bald wieder❤️🖤",3,1,"[{""reply_user"":""dorfterror"",""reply_date"":""2025-03-17T19:25:18.000Z"",""reply"":""@johnnyraw_support das werden wir bestimmt! Hat uns sehr gefreut, dass du da warst 🙌🫶"",""likes_number"":1}]",,,"https://www.instagram.com/p/DHTmzkhsJFX","dorfterror","18088934050570684","3590383997625078103","2025-07-12T20:59:16.584Z","{""url"":""https://www.instagram.com/p/DHTmzkhsJFX""}",,,,
"https://www.instagram.com/dorfterror","dorfterror.fussel","https://www.instagram.com/dorfterror.fussel","2025-03-17T16:06:36.000Z","Gipfelfest 🙌🔥 auf die zweite Hälfte der Tour @dorfterror.tier @dorfterror.chili @dorfterror.elgatocastrado 🍻",3,0,,,"[""@dorfterror"",""@dorfterror"",""@dorfterror""]","https://www.instagram.com/p/DHTmzkhsJFX","dorfterror","18087961504581069","3590383997625078103","2025-07-12T20:59:16.584Z","{""url"":""https://www.instagram.com/p/DHTmzkhsJFX""}",,,,
"https://www.instagram.com/dorfterror","its_a_161_riot","https://www.instagram.com/its_a_161_riot","2024-11-07T18:54:45.000Z","for you: ❤️ for them:🖕",0,0,,,,"https://www.instagram.com/p/DCC4Y6Ftkdj","dorfterror","17889032493080350","3495604263037847395","2025-07-12T20:59:16.594Z","{""url"":""https://www.instagram.com/p/DCC4Y6Ftkdj""}",,,,
"https://www.instagram.com/dorfterror","rambow_band","https://www.instagram.com/rambow_band","2024-11-07T09:17:53.000Z","🖕😎🖕",0,0,,,,"https://www.instagram.com/p/DCC4Y6Ftkdj","dorfterror","18346160716135535","3495604263037847395","2025-07-12T20:59:16.594Z","{""url"":""https://www.instagram.com/p/DCC4Y6Ftkdj""}",,,,
"https://www.instagram.com/dorfterror","frank_bresch","https://www.instagram.com/frank_bresch","2025-03-21T12:35:37.000Z","👏👏👏👏👏",0,0,,,,"https://www.instagram.com/p/DHOzZF8MGDw","dorfterror","17913712596068292","3589031977798361328","2025-07-12T20:59:16.634Z","{""url"":""https://www.instagram.com/p/DHOzZF8MGDw""}",,,,
"https://www.instagram.com/dorfterror","the_gedi","https://www.instagram.com/the_gedi","2025-03-16T21:57:33.000Z","Lieben wir",0,0,,,,"https://www.instagram.com/p/DHOzZF8MGDw","dorfterror","18062197996817947","3589031977798361328","2025-07-12T20:59:16.634Z","{""url"":""https://www.instagram.com/p/DHOzZF8MGDw""}",,,,
