artist,artist_url,song,song_url,lyrics
a1,https://www.azlyrics.com/f/floyda1bentley.html,sweat,https://www.azlyrics.com/https://www.azlyrics.com/lyrics/lyricaanderson/sweat.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,sick!,https://www.azlyrics.com/https://www.azlyrics.com/lyrics/lyricaanderson/sick.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,don't care,https://www.azlyrics.com/https://www.azlyrics.com/lyrics/lyricaanderson/dontcare.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,chanel,https://www.azlyrics.com/https://www.azlyrics.com/lyrics/lyricaanderson/chanel.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,cash app,https://www.azlyrics.com//lyrics/floyda1bentley/cashapp.html,"you know what i'm sayin', ooh, yeah, huh   after you back it up, then stop now wop, wop, wop, drop it like it's hot now after you back it up, then stop now wop, wop, wop, drop it like it's hot  uh, yeah, baby, that's that type of booty make a nigga wanna grab that i just wanna know your name and your cash app it ain't trick-trick-trickin', you can have that now after you back it up, then stop now wop, wop, wop, drop it like it's hot now after you back it up, then stop now wop, wop, wop, drop it like it's hot  ayy, she the center of attention every night, though a hood bitch, but gotta treat her right, though expensive lacefront with her nails did  on call, two phones, own crib  do it, do it, do it, yeah , do it, do it, yeah  put your back into it, yeah, get into it, yeah she been goin' all night 'til the sun up yeah, runnin' up them hundreds  uh, yeah, baby, that's that type of booty make a nigga wanna grab that i just wanna know your name and your cash app it ain't trick-trick-trickin', you can have that now after you back it up, then stop now wop, wop, wop, drop it like it's hot now after you back it up, then stop now wop, wop, wop, drop it like it's hot   ooh, back that shit up, don't stop with it  she too bougie, want a hundred just to shop with it  bought an ap with some rocks in it  balenciaga runners with the sock linen  brand new louis bag, i had to put some racks in it  she gon' throw it back, put your back in it  bought a sprite, i had to put some act' in it  same nigga, say the money make you act different    uh, yeah, baby, that's that type of booty make a nigga wanna grab that i just wanna know your name and your cash app it ain't trick-trick-trickin', you can have that now after you back it up and stop now wop, wop, wop, drop it like it's hot now after you back it up and stop now wop, wop, wop, drop it like it's hot  do it, do it, do it, yeah, do it, do it, yeah do it, do it, do it, yeah, do it, do it, yeah do it, do it, do it, yeah, do it, do it, yeah put your back into it, yeah, get into it, yeah  now after you back it up and stop now wop, wop, wop, drop it like it's hot now after you back it up and stop now wop, wop, wop, drop it like it's hot"
a1,https://www.azlyrics.com/f/floyda1bentley.html,secret,https://www.azlyrics.com//lyrics/floyda1bentley/secret.html,"yeah  i can keep a secret i can keep a secret, yeah i can keep a secret i can keep a secret, yeah  i won't tell nobody i'm feelin' your body i can feel your heartbeat, yeah say your man at his j-o-b i'll be there at 8:03 to get that blow j-o-b, yeah call, press decline baby, we got time i'll be out by 9, yeah, yeah, yeah i'll be back tomorrow baby, say no more, yeah erase my name out your, phone, ah  :] i can keep a secret  i can keep a secret, yeah  i can keep a secret  i can keep a secret, yeah    i be tellin' niggas you classy  and i be knowin' that it's all cap, ah tell her meet me at the all white party she be dressin' all red like a kappa hair snatchin', let her ride me bare back i give it to her like that, ah get her anything she want  haters like, ""how is she gettin' out of that car?""  oh, oh, yeah, my bitch puerto rican yeah, she wet, i got that water leakin' suckin' that dick on the floor i eat that pussy on the ceiling but she got a man so you ain't hear that shit from me, bitch, yeah, yeah  :] i can keep a secret  i can keep a secret, yeah i can keep a secret i can keep a secret, yeah   yeah, i'm out with my posse i'm drippin', so saucy can't get these hoes off me, yeah  tell your man, ""you better hit the gym"" london suite at 10am to give a1 that pussy, yeah i can't buy you no diamonds that'd be wrong timing you already back with lyin', yeah, yeah, yeah if we get caught, then it's on you  but let him trip if he want to   :] i can keep a secret  i can keep a secret, yeah i can keep a secret  i can keep a secret, yeah i can keep a secret i can keep a secret, yeah i can keep a secret i can keep a secret, yeah"
a1,https://www.azlyrics.com/f/floyda1bentley.html,came up,https://www.azlyrics.com//lyrics/floyda1bentley/cameup.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,we know about you,https://www.azlyrics.com//lyrics/floyda1bentley/weknowaboutyou.html,type the characters from the picture above:  input is case-insensitive  submit
a1,https://www.azlyrics.com/f/floyda1bentley.html,why not,https://www.azlyrics.com//lyrics/floyda1bentley/whynot.html,"man, i make this money, this money lately right now sound hitmaka why not? why not? yeah tnb beatz, baby  knots, why not? drops, why not? rocks, why not? blocks, why not? huh? why not? count it up, why not? huh? why not? racks, why not?  dutch bitch, dutch whip dutch master, german engineering she say i can't drink no more, run an interference i can't hear no more, i'm too incoherent she wanna jump in the coupe she wanna jump in the rolls she wanna tell me the truth she wanna take off her clothes that's a lie, maury said that's a lie she my baby, but her baby isn't mine, tuh  knots, why not? drops, why not? rocks, why not? blocks, why not? huh? why not? count it up, why not? huh? why not? racks, why not?  zoom, zoom that's just my lamborghini, broom, vroom, yeah booty goin' yeah, boom, boom bass hit , doom, doom, yeah  gang, gang, pick a side, might as well just do or die damn, yeah, she's so attractive, she a lil' cutie pie almost got me caught up, had me thinkin' i should tie the knot your friend wanna come over, i don't know if it's true or not why not?  knots, why not? drops, why not? rocks, why not? blocks, why not? huh? why not? count it up, why not? huh? why not? racks, why not?"
a1,https://www.azlyrics.com/f/floyda1bentley.html,pattie cake,https://www.azlyrics.com//lyrics/floyda1bentley/pattiecake.html,"i know som' skrt 24hrs and i'm with the hitmaker we got london on the track  drop-top wraith, yeah, patty-cake  she gon' work the pot, never see the safe  bust down my wrist, ex can't relate  i'ma do the most while them niggas hate  mm, na , mm, na , mm, na , mm, na mm, na , mm, na , mm, na , mm, na-na-na-na  uh, skrrt look me in my face  know i'm hella paid  come and get a taste  uh, uh, hundred on my arm  ooh, my watch is foreign  girl, yo' man is borin'  she wanna spend the night  and bring a friend tonight i'm 'bout to dim the lights, yeah uh, yeah, she wanna sacrifice  she got good brain  and i got good advice  drop-top wraith, yeah, patty-cake  she gon' work the pot, never see the safe  bust down my wrist, ex can't relate  i'ma do the most while them niggas hate  mm, na , mm, na , mm, na , mm, na mm, na , mm, na , mm, na , mm, na-na-na-na  i never won't shine like twenty-four hour shine my bitch be more than nice my bitch a eighty-eight but you bet i hit 'em  nothin' less  both our diamond ropes  chunky necks  and she gon' see the price but not the safe she gon' see the light with me  but i just don't trust her, trust her, trust her bet i'll beat this, beat that, bedroom, bust it  drop-top wraith, yeah, patty-cake  she gon' work the pot, never see the safe  bust down my wrist, ex can't relate  i'ma do the most while them niggas hate  mm, na , mm, na , mm, na , mm, na mm, na , mm, na , mm, na , mm, na-na-na-na"
a1,https://www.azlyrics.com/f/floyda1bentley.html,don't take,https://www.azlyrics.com//lyrics/floyda1bentley/donttake.html,"don't take, don't take your love ooh-ooh, ooh-ooh don't take, don't take your love ooh-ooh, ooh-ooh don't take, don't take your love from me, from me i can't, i can't live without it, without it  don't take, don't take your love from me, from me i can't, i can't live without it, without it don't take, don't take your love from me, from me i can't, i can't live without it, without it ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh  ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh   girl i'm only lookin' for a fun time i just booked a suite up at the montage keep on dancin' while i pour me up another shot i can tell that you a freak, a super soaker mm, i ain't tryna leave without you with me girl, you don't belong in magic city the boom-boom too pretty-pretty, yeah  don't take, don't take your love from me, from me  i can't, i can't live without it, without it  don't take, don't take your love from me, from me i can't, i can't live without it, without it ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh  ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh   you know i feel your radiation tryna play it cool and be patient feel you warmin' up, i can taste it take the thong-thong off, baby, shake it mm, my, got knots over here got guap over here yeah, my, quit your job over here be with a boss over here  don't take, don't take your love from me, from me  i can't, i can't live without it, without it don't take, don't take your love from me, from me  i can't, i can't live without it, without it ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh  ooh-ooh, ooh-ooh, ooh-ooh, ooh-ooh ooh-ooh , ooh-ooh   na, na, na-na, na-na-na"
